,ADM,BF-B,CAG,CCE,CHD,CL,CLX,COST,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SYY,TAP,TSN,WBA,WFM,WMT
DPS,-0.0194926706539,-0.0545005185998,-0.0245371810841,0.00258423975292,-0.0239797550516,0.365389965592,-0.0108441786417,-0.218244747256,0.0891415623612,0.00824755259044,1.0,0.0388543873156,0.105143285795,0.0207392428286,0.00855776994771,-0.0436718195091,0.370121106941,-0.0522341336975,0.0380842844216,0.0264685809092,-0.0859703881362,0.163441730488,0.0198174590434,0.0258570890978,-0.0114005199801,0.044077385592,-0.00104355324011,0.0468974672009,-0.0600754647788,0.0214665021951,-0.0242648397258,0.00989581315993,0.0216177650699,0.155253001894,0.0832381973894,0.0277372625925,0.0273235261699
EL,-0.0069886395627,0.0311476955138,0.0124282374968,0.039746247002,-0.0431396790498,0.01718248378,0.0119306137682,0.0872847139126,-0.00537260888318,-0.00780376107322,0.0388543873156,1.0,-0.00356261359067,-0.0412660724509,0.0353022044909,-0.00917226147464,-0.0332334742393,0.0133316073965,-0.0176629505934,-0.218032392281,0.00164998585457,0.0075653314687,-0.0440636752109,-0.119205610742,-0.0132552434678,-0.00170382617417,0.0900524393215,0.0372307668146,-0.127400494443,0.206965019186,0.0100130534212,-0.0523495220834,0.0194070782281,0.0423848519406,0.04076935687,0.0831035112202,0.0308783708946
GIS,0.41266384735,0.0786208165685,0.116315702958,-0.171510295566,-0.070600696191,0.175414207846,-0.0106334762612,0.0192369097275,0.0747338329807,-0.00622150520922,0.105143285795,-0.00356261359067,1.0,-0.0448725612394,0.0513241264026,0.0469060033074,0.0963998346374,0.00926071065277,-0.159408985542,-0.0646888152478,0.0336156810934,0.082367643814,-0.0121716465864,-0.00577752436669,0.0182737001328,-0.0226501891451,0.155684388502,-0.0226652984707,-0.0418408700525,-0.00611819145102,-0.155521901813,-0.0262039517073,0.00141360242928,-0.0241445227524,-0.00831891950049,-0.0366076806991,-0.0126448161142
HRL,-0.0108309935825,-0.00204279169246,-0.0147688705234,0.0905239208584,-0.0274273413664,-0.0176336292417,0.0565753292431,-0.179586590943,0.012202746213,0.1804871027,0.0207392428286,-0.0412660724509,-0.0448725612394,1.0,0.182993603185,0.0399741973811,0.12442703546,0.0376807455782,-0.0282721572136,0.00806840977037,-0.158819089579,-0.0233778266313,0.00931043586745,0.0390648332508,0.0812875691945,0.0628872596211,-0.0405941710997,0.0140113110835,-0.0256685092065,-0.045308795231,0.0517847623895,-0.055850928025,-0.00844197448116,0.00918661121158,-0.0392976328121,-0.00405243985365,-0.218653558878
HSY,-0.0595126914727,0.430402049815,0.0548311393091,-0.0053103305202,-0.00301799199577,0.0473891717047,-0.00405302594706,0.0566591158785,0.0333990423698,0.385238821804,0.00855776994771,0.0353022044909,0.0513241264026,0.182993603185,1.0,0.00364344959852,0.0079039716437,0.00716712245952,-0.0399305191786,-0.0263807142504,0.00108803273822,-0.0756579064014,0.037634163713,0.0102172843161,0.013109055043,0.108835581776,-0.0111413495709,0.0443239811028,-0.0349041721741,0.102397097751,-0.00448216567124,0.0325509220968,0.0116455899965,-0.00471794691383,0.0708873664911,0.0346998308615,0.015754015093
K,0.189835631191,-0.0188804344487,0.0476811520678,-0.0129722078593,-0.0602189252879,0.0414566969364,0.553910563488,0.0302380290401,-0.0256984047273,-0.0884064006358,-0.0436718195091,-0.00917226147464,0.0469060033074,0.0399741973811,0.00364344959852,1.0,0.000894322574329,-0.147598706502,-0.0990609431504,-0.0121880689998,0.058995296804,-0.156780865123,-0.0361151604247,-0.00872569015037,-0.00617988199487,0.00548245759783,-0.0811850885506,0.100454744601,0.0592890968764,-0.0190448587734,-0.0213598245325,0.0613198235889,-0.0174741860054,0.0106964045354,0.00216789628681,0.0559847567631,0.0135477391323
KHC,-0.0234733514324,0.0510691481412,-0.0874280090095,-0.0720483593574,-0.307164196157,0.310174043231,0.0516993472331,0.0957879655668,0.0636054228322,-0.234571431493,0.370121106941,-0.0332334742393,0.0963998346374,0.12442703546,0.0079039716437,0.000894322574329,1.0,0.0587356575391,0.116191910603,-0.100400596843,-0.0296377827042,0.2167807224,0.0548966983606,0.0191646143507,0.0767692993817,0.0452757364728,0.0274248876277,-0.0512323332278,0.0272996433301,-0.0558805157945,0.00356135118964,-0.0209258008246,0.0187300268203,0.148880111308,-0.0519676750044,-0.0250274038472,0.0534147576129
KMB,-0.00312863775619,-0.0365717018734,0.093373028756,-0.135379451898,-0.068402456477,0.0382810531714,-0.24493009962,0.21010132563,0.00959834757024,0.00117844916688,-0.0522341336975,0.0133316073965,0.00926071065277,0.0376807455782,0.00716712245952,-0.147598706502,0.0587356575391,1.0,0.0165078589327,0.00253969583109,-0.0206488340718,-0.0673601109368,0.060818744352,0.0066160160834,0.0312349165133,0.0295155880311,0.0607570244449,-0.0172456564906,-0.00023389755292,0.0916736683335,-0.00550829679454,0.0939615087782,-0.0201461279997,0.00419831672002,-0.00888070370427,-0.0400215315237,-0.0179087473311
KO,-0.226602474355,-0.030751673394,0.0162436092312,0.00316746250421,0.0910190417385,0.0854672405083,-0.0534767039466,0.0656776658034,0.0127714470637,0.00873158888438,0.0380842844216,-0.0176629505934,-0.159408985542,-0.0282721572136,-0.0399305191786,-0.0990609431504,0.116191910603,0.0165078589327,1.0,0.0579449627352,-0.101587810643,-0.0471297363493,-0.0268303825875,-0.110046321266,-0.0132551957029,-0.0174057821941,-0.00494887737549,0.169915316204,0.0300180621821,0.0892060888549,0.0610718258216,-0.0803409750014,-0.0224256643797,0.0234086241941,0.0111930528991,-0.0139349206428,0.0344896447792
KR,-0.0321780768022,-0.0562457344712,-0.00985139756726,0.0266735168605,0.310491673208,-0.00908738110342,0.0151798689845,0.0224455825865,0.0354499214352,0.0648888228261,0.0264685809092,-0.218032392281,-0.0646888152478,0.00806840977037,-0.0263807142504,-0.0121880689998,-0.100400596843,0.00253969583109,0.0579449627352,1.0,-0.0491585431242,-0.0604883293072,0.0255956883152,-0.00980349400594,0.00732850803619,0.00608669591191,0.00399376359189,0.0244035253475,0.000632794419788,0.0175350483209,0.0189896229586,0.0297237009781,-0.0187194706132,-0.0252487914712,0.0106890239842,-0.0229046252711,-0.0136660747733
